title,overview,genres,cast,poster_url
All Hallows' Eve,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",['Horror'],"['Katie Maguire', 'Catherine A. Callahan', 'Marie Maser', 'Kayla Lian', 'Mike Giannelli']",https://image.tmdb.org/t/p/w500/bSe8CBqK8HkbP6sqZWzcJfQV9Ci.jpg
Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.","['Action', 'Thriller']","['Oksana Orlan', 'Sebastián Carvajal', 'María del Rosario', 'Maurice Compte', 'Chase Coleman']",https://image.tmdb.org/t/p/w500/29uKScAbQuKsMEdAn12a6BmvFn7.jpg
The Silent Hour,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.","['Crime', 'Thriller', 'Action']","['Joel Kinnaman', 'Sandra Mae Frank', 'Mekhi Phifer', 'Mark Strong', 'Michael Eklund']",https://image.tmdb.org/t/p/w500/j736cRzBtEPCm0nHnpRN1prqiqj.jpg
Invasion,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do.","['Action', 'Drama', 'Thriller']","['Tarikh Janssen', 'Gijs Blom', 'Ortál Vriend', 'Jasha Rudge', 'Fedja van Huêt']",https://image.tmdb.org/t/p/w500/s2KE27j9cWDSJKYOg4KxXDwnoiv.jpg
Kelas Bintang - Hot Moms,,"['Drama', 'Romance']",[],https://image.tmdb.org/t/p/w500/7dBqZmErtrxN9ghOJoW6SimgDo1.jpg
Flow,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.","['Animation', 'Fantasy', 'Adventure']",[],https://image.tmdb.org/t/p/w500/dzDMewC0Hwv01SROiWgKOi4iOc1.jpg
Transmorphers: Mech Beasts,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.","['Action', 'Science Fiction']","['Tom Arnold', 'Tania Fox', 'Jolene Anderson', 'Andrew Rogers', 'Mica Javier']",https://image.tmdb.org/t/p/w500/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg
My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","['Romance', 'Drama']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz']",https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.","['Romance', 'Drama']","['Blake Lively', 'Justin Baldoni', 'Jenny Slate', 'Brandon Sklenar', 'Hasan Minhaj']",https://image.tmdb.org/t/p/w500/AjV6jFJ2YFIluYo4GQf13AA1tqu.jpg
Diabolik - Who Are You?,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.","['Crime', 'Action']","['Giacomo Gianniotti', 'Miriam Leone', 'Valerio Mastandrea', 'Monica Bellucci', 'Pier Giorgio Bellocchio']",https://image.tmdb.org/t/p/w500/1DAXwi4y941ryPoGbzUlFEEiPAo.jpg
Double Blind,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake.","['Science Fiction', 'Horror', 'Thriller']","['Millie Brady', 'Pollyanna McIntosh', 'Akshay Kumar', 'Diarmuid Noyes', ""Brenock O'Connor""]",https://image.tmdb.org/t/p/w500/dGKQ4nPA5WDVbq2KdXkGpohEC7Y.jpg
Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",['Drama'],"['Sofia Kappel', 'Zelda Morrison', 'Tee Reel', 'Evelyn Claire', 'Chris Cock']",https://image.tmdb.org/t/p/w500/7Z2K08J0WantJHNa0vLTOmii41l.jpg
SpongeBob Squarepants: Kreepaway Kamp,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!","['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']","['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass', 'Clancy Brown', 'Carolyn Lawrence']",https://image.tmdb.org/t/p/w500/blRsgsexoBqnjcEJkV8beKAVT6J.jpg
